p11,p22
428,427
668,118
662,640
597,791
328,233
740,173
78,694
675,319
202,754
152,412
410,609
281,114
407,766
302,837
548,603
415,451
402,815
177,710
428,599
427,41
118,165
668,467
597,476
640,655
791,12
662,782
633,343
322,327
162,317
640,372
12,123
668,396
467,570
428,786
655,629
476,388
599,61
427,590
791,257
662,847
118,266
41,296
165,456
782,639
597,242
312,722
699,693
714,275
635,276
387,548
634,291
422,790
778,844
615,508
409,415
609,72
646,450
777,115
248,837
448,80
512,246
410,603
10,418
573,417
769,76
591,67
718,185
112,677
800,429
229,510
374,677
112,229
284,800
745,700
630,255
45,761
710,367
512,646
117,517
597,668
662,476
806,712
364,808
335,327
176,155
323,429
800,185
677,284
745,340
510,700
461,185
718,429
801,498
712,209
528,40
305,430
485,795
189,505
69,575
448,609
249,766
248,302
414,114
778,548
769,415
246,413
418,426
543,844
406,614
265,60
408,80
268,116
276,790
281,598
837,115
603,787
410,550
451,76
407,50
402,503
517,290
117,793
709,316
262,656
53,101
529,621
106,692
668,427
597,12
476,639
662,590
275,660
722,108
699,259
654,317
544,210
33,591
51,494
126,642
316,299
366,657
735,727
180,112
377,327
315,162
380,547
345,510
733,330
548,777
634,422
646,615
573,409
162,364
226,176
328,224
88,536
631,337
233,819
844,622
421,842
497,403
191,540
815,305
264,465
219,400
505,194
200,45
96,443
754,506
147,630
547,315
154,707
733,344
55,184
210,283
835,281
816,114
76,780
252,768
166,426
75,60
604,72
214,591
558,196
150,341
709,710
740,691
272,694
319,651
450,408
426,80
265,114
268,246
417,766
451,831
508,424
635,837
787,841
291,72
276,622
281,60
10,351
249,598
548,407
413,603
415,842
410,248
115,816
778,75
387,835
177,299
316,696
709,336
41,427
590,118
782,847
296,629
655,12
396,476
337,717
579,312
714,542
232,693
305,432
137,304
548,603
402,7
177,110
615,844
832,406
417,790
508,426
646,80
423,413
606,116
831,60
766,50
769,451
414,281
609,410
248,115
265,72
246,768
276,452
550,450
76,780
268,424
837,10
408,835
418,351
598,610
543,75
407,64
787,622
570,61
668,476
388,791
599,597
266,467
639,640
55,366
78,155
747,173
719,675
603,816
409,64
418,406
837,846
448,413
844,842
276,423
422,408
573,769
609,114
646,249
634,766
10,76
615,784
415,426
410,606
512,622
548,831
790,268
19,638
156,633
233,392
106,689
800,718
374,284
700,229
112,745
429,374
700,718
800,745
510,323
395,523
121,765
289,817
793,502
646,777
668,597
165,372
476,590
19,438
638,620
800,374
461,510
323,718
700,185
700,284
510,429
374,323
718,185
210,498
317,209
560,810
815,195
199,553
292,487
121,395
793,523
502,817
765,289
843,146
175,757
42,36
264,494
436,269
14,529
29,575
503,664
635,543
233,106
689,392
162,283
740,312
693,319
694,714
675,651
272,78
173,691
722,160
275,542
232,699
719,259
660,155
747,108
801,544
712,654
765,502
793,817
289,395
523,121
406,832
618,496
35,203
282,283
282,283
395,502
523,817
121,289
793,765
512,777
615,548
177,743
262,44
139,602
544,498
502,121
765,817
523,289
793,395
490,503
179,621
238,815
743,747
51,214
199,638
233,709
335,106
777,247
80,787
842,265
837,424
450,407
831,116
387,451
291,598
248,550
635,60
609,281
417,302
246,614
603,351
413,780
508,452
115,589
778,414
415,75
106,367
392,181
395,817
502,289
793,121
523,765
710,633
367,392
106,181
793,289
817,121
502,523
395,765
512,548
777,615
646,784
508,387
633,181
710,106
392,367
255,33
7,485
317,174
712,317
654,210
42,420
581,277
572,235
630,214
67,200
248,10
548,622
406,594
832,614
769,780
60,265
116,424
80,835
831,72
302,837
766,64
448,450
413,246
249,407
609,550
114,598
508,418
606,268
417,276
415,76
790,452
646,408
281,610
423,768
844,75
778,787
426,351
615,543
135,157
495,90
656,16
196,31
591,218
144,220
529,685
704,106
365,232
369,544
163,88
715,803
657,364
335,726
366,578
227,314
209,801
634,409
704,710
106,156
365,272
232,275
726,174
227,284
544,498
803,224
335,154
578,180
88,636
369,345
364,155
715,311
657,328
163,337
314,547
366,429
773,574
590,785
360,118
775,278
257,95
634,508
409,512
743,722
476,206
388,662
266,585
782,479
608,61
538,764
296,162
597,511
640,279
389,398
674,611
12,707
655,213
372,243
453,838
668,298
427,791
786,599
522,396
315,570
639,456
41,848
467,242
629,515
799,369
428,839
49,774
227,805
365,723
704,709
364,55
739,178
26,59
214,402
529,179
500,494
168,650
175,485
829,42
45,51
815,255
581,143
147,277
799,608
298,131
213,399
515,848
372,453
722,367
366,338
578,331
512,276
508,769
409,422
634,387
662,538
599,774
782,847
257,348
476,479
597,296
61,396
315,456
791,118
773,467
88,668
570,707
574,764
639,785
388,511
838,360
640,629
123,428
206,585
242,49
427,590
12,279
243,674
655,775
162,786
389,95
41,278
33,591
283,317
805,326
769,115
387,777
276,573
508,408
422,790
662,369
296,585
476,655
467,634
428,613
372,848
629,781
578,570
786,41
774,242
453,131
396,8
599,253
315,639
799,641
640,511
427,170
388,536
751,53
39,823
19,665
322,531
712,801
539,701
485,33
575,294
483,29
335,538
364,55
369,226
364,55
314,275
545,657
702,158
57,801
174,375
538,317
368,735
687,377
112,309
687,364
88,369
226,544
717,337
224,365
327,345
547,727
180,330
380,737
510,110
733,106
344,536
631,314
176,283
707,328
55,162
581,829
754,152
430,797
175,485
580,70
83,665
233,335
456,773
608,243
791,838
597,590
49,707
257,298
668,206
55,176
803,510
88,228
545,702
